fb,pp,sd,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode,hd
53,105;107;111;109,29;26;25,Bayside Village,,413;408;411;407,QE13;QE08;QE11;QE07,44;43,27;23;20;19,27;23;20;19,5;6;3,24;33;25;26,14;16;11,park-cemetery-etc-Queens;Queens Village;Bellerose;Oakland Gardens;Glen Oaks-Floral Park-New Hyde Park;Queensboro Hill;East Flushing;Auburndale;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck;Murray Hill;Ft. Totten-Bay Terrace-Clearview;Whitestone,11411;11429;11428;11427;11001;11426;11004;11364;11040;11365;11005;11362;11358;11361;11363;11360;11359;11357,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District;Fort Totten Historic District
11,20;24;26;28;32,3;5,Columbus Avenue BID;Columbus Amsterdam BID;125th Street BID,,107;109;110,MN07;MN09;MN10,15;16;11;17,6;9;7,6;7;9,12;13,67;69;70,47;30,Lincoln Square;Upper West Side;Morningside Heights;Central Harlem South;Manhattanville;Central Harlem North-Polo Grounds,10023;10026;10024;10025;10115;10027,West End-Collegiate Historic District Extension;West End - Collegiate Historic District;Central Park West - West 73rd - 74th Street Historic District;Central Park West - 76th Street Historic District;Upper West Side/Central Park West Historic District;Riverside Drive-West 80th-81st Street Historic District;Riverside-West End Historic Distric Extension I;Riverside-West End Historic District;Riverside-West End Historic District Extension II;Manhattan Avenue Historic District;Riverside - West 105th Street Historic District;Morningside Heights Historic District
57,78;77;79;88;90;81;83,17;15;13;14;16;32,North Flatbush?BID;Bed-Stuy Gateway?BID;Fulton Area Business (FAB) Alliance;MetroTech?BID,,308;355;306;302;301;303;304,BKN08;BKS06;BKN02;BKN01;BKN03;BKN04,36;38;30;32;34,35;36;39;33;34,35;36;39;33;34,9;10;8;7,43;44;57;52;50;56;53,20;25;26;18,Crown Heights North;Prospect Heights;Bedford;Park Slope-Gowanus;Fort Greene;Clinton Hill;Williamsburg;Stuyvesant Heights;Bushwick South,11217;11238;11216;11206;11205;11221,Park Slope Historic District;Park Slope Historic District Extension II;Brooklyn Academy of Music Historic District;Crown Heights North Historic District;Prospect Heights Historic District;Bedford Historic District;Clinton Hill Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
37,81;83,13;23;16;32,,,303;304,BKN03;BKN04,36;32;34,36;41;37;34,36;41;37;34,8;7,54;55;56;53,25;18,Crown Heights North;Bushwick North;Stuyvesant Heights;Bushwick South,11207;11233;11237;11221,Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
44,75;73;81;83;104,17;19;23;16;32;24,East Brooklyn?BID;Pitkin Avenue?BID,East New York,305;316;303;304;405,BKN05;BKN16;BKN03;BKN04;QW05,33;32;34;46,32;42;41;37,42;41;37;30,9;8;7,60;54;55;38,25;19;18,park-cemetery-etc-Brooklyn;East New York;East New York (Pennsylvania Ave);park-cemetery-etc-Queens;Cypress Hills-City Line;Brownsville;Ocean Hill;Bushwick South,11208;11207;11212;11233,
22,122;121;120,31,West Shore BID;Forest Avenue?BID,Staten Island West Shore;Staten Island North Shore,502;501,SI02;SI01,51,51;50;49,51;50;49,11,62;64;63;61,24;23,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;New Springville-Bloomfield-Travis;Westerleigh;Port Richmond;New Brighton-Silver Lake;Mariner's Harbor-Arlington-Port Ivory-Graniteville;West New Brighton-New Brighton-St. George,10314;10301;10302;10303;10310,New York City Farm Colony- Seaview Hospital Historic District
6,9;13;6,1;2,NoHo BID;Village Alliance BID;14th Street BID;Flatiron/23rd Street Partnership,,106;105;103;102,MN06;MN05;MN03;MN02,14;15,4;2;3,1;2;4;3,10;12,74;66;75,59;28;27,Stuyvesant Town-Cooper Village;East Village;Gramercy;West Village;Hudson Yards-Chelsea-Flatiron-Union Square,10009;10010;10012;10003;10011;10047,Noho East Historic District;NoHo Historic District Extension;NoHo Historic District;St. Mark's Historic District;St. Mark's Historic District Extension;MacDougal-Sullivan Gardens Historic District;South Village Historic District;Stuyvesant Square Historic District;East 17th Street / Irving Place Historic District;Greenwich Village Historic District;Gramercy Park Historic District Extension;Gramercy Park Historic District;Ladies' Mile Historic District
8,17;13;14;18,2,Bryant Park BID;Grand Central Partnership;East Mid-Manhattan BID;Flatiron/23rd Street Partnership;34th Street BID;Garment District,,106;105,MN06;MN05,14;13;15,5;4;2,2;5;4,12,74;73;75,59;28,Murray Hill-Kips Bay;Turtle Bay-East Midtown;Gramercy;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South,10010;10016;10158;10178;10168;10174;10165;10017;10170;10166;10110;10173;10175;10169;10167;10096;10177;10172;10171;10022;10155;10001;10018;10036;10154;10152;10055,Tudor City Historic District;Turtle Bay Gardens Historic District;Sniffen Court Historic District;Murray Hill Historic District Extensions;Murray Hill Historic District
4,7;5;9;13,1;2,Chinatown;Lower East Side BID,,106;103;102,MN06;MN03;MN02,14;15,1;4;2,1;2;4,10;12,74;65;66,59;27,Lower East Side;Stuyvesant Town-Cooper Village;SoHo-TriBeCa-Civic Center-Little Italy;Chinatown;East Village,10038;10009;10013;10002;10012;10003,East 10th Street Historic District;East Village / Lower East Side Historic District
38,70;71;78;77;79;67;81,17;13;18;16,Bed-Stuy Gateway?BID,,314;309;308;355;317;303,BKS14;BKN09;BKN08;BKN17;BKN03,36;39;35;32,40;35;36;41,40;35;36;41,9;10;8,43;44;57;52;58;55;56,20;25;21,Erasmus;Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North;Prospect Heights;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village,11226;11225;11238;11216;11203;11213;11233,Melrose Parkside Historic District;Prospect Lefferts Gardens Historic District;Crown Heights North II Historic District;Crown Heights North III Historic District;Crown Heights North Historic District;Prospect Heights Historic District;Alice and Agate Courts Historic District
9,10;14;18;20,2;3,Grand Central Partnership;East Mid-Manhattan BID;Times Square BID;47th Street BID;5th Avenue BID;Lincoln Square BID;Columbus Avenue BID,,105;104;107,MN05;MN04;MN07,13;15,4;3;6,4;3;6,12,73;75;67,28;47,Midtown-Midtown South;Clinton;Lincoln Square,10017;10196;10022;10036;10097;10019;10023;10069;10020;10111;10112;10103;10104;10105;10151;10153;10106;10107,West 71st Street Historic District;West End-Collegiate Historic District Extension;Upper West Side/Central Park West Historic District
3,41;43;45,8;11;12,Westchester Square;Southern Boulevard?BID,Hunts Point;Zerega,202;209;210,BX02;BX09;BX10,23;26;22,17;18,18;13;17,14,85;87;82;84,29;34;32,Hunts Point;Soundview-Castle Hill-Clason Point-Harding Park;Soundview-Bruckner;Westchester-Unionport;West Farms-Bronx River;Parkchester;park-cemetery-etc-Bronx;Crotona Park East,10474;10473;10472;10461;10462;10459,Manida Street Historic District
15,45;49;52;50;47,11;10,Jerome-Gun Hill?BID,Eastchester,210;228;211;227;207;226;212,BX10;BX11;BX07;BX12,26;24;21,13;12;15;11,13;12;15;11,14;15;16,82;80;83;78;81,34;36;33,park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester;Van Nest-Morris Park-Westchester Square;Pelham Parkway;Bronxdale;Allerton-Pelham Gardens;Norwood;Williamsbridge-Olinville;Woodlawn-Wakefield,10462;10464;10475;10469;10467;10471;10466;10470,
42,62;68;66,20;21,86th Street Bay Ridge?BID;Bay Ridge 5th Avenue?BID,,311;310;312,BKS10;BKS11;BKS12,31;37;39;35,50;47;44;43;38,47;43;44;38,11;9;10,64;47;46;49;45;48,23;17;22;26,Bensonhurst East;Bath Beach;Dyker Heights;Bay Ridge;Ocean Parkway South;Bensonhurst West;Borough Park;park-cemetery-etc-Brooklyn,11214;11219;11228;11209;11223;11230;11204,
52,107;112;110;109,26;25,Downtown Flushing,,408;481;403;407,QE08;QW03;QE07,43,24;23;20;21;19,24;23;20;21;19,6;3;14,25;27;35;40;26,14;16;11;13,park-cemetery-etc-Queens;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Fresh Meadows-Utopia;Queensboro Hill;East Flushing;Auburndale;Bayside-Bayside Hills;Flushing;Murray Hill;Ft. Totten-Bay Terrace-Clearview;College Point;Whitestone,11367;11366;11365;11355;11368;11358;11354;11360;11356;11357,
19,44;52;46;50,9;10,Fordham Road?BID;Kingsbridge?BID,,204;205;207;208;226,BX04;BX05;BX07;BX08,17;25;21,16;15;10;14;11,16;10;15;14;11,13;15,80;77;72;78;86;81,29;32;31;33,park-cemetery-etc-Bronx;Norwood;Mount Hope;Fordham South;University Heights-Morris Heights;Kingsbridge Heights;Van Cortlandt Village;Marble Hill-Inwood;Spuyten Duyvil-Kingsbridge,10467;10452;10457;10453;10468;10463;10471,Morris Avenue Historic District
27,49;52;50;47,11;10,Jerome-Gun Hill?BID;Fordham Road?BID,,211;227;207;208;226;212,BX11;BX07;BX08;BX12,24;21,13;12;15;14;11,13;12;15;14;11,13;15;16,80;83;78;86;81,36;31;33,park-cemetery-etc-Bronx;Bronxdale;Norwood;Williamsbridge-Olinville;Belmont;Bedford Park-Fordham North;Van Cortlandt Village;Spuyten Duyvil-Kingsbridge;North Riverdale-Fieldston-Riverdale,10462;10467;10458;10468;10463;10471;10466,Perry Avenue Historic District;Fieldston Historic District;Riverdale Historic District
46,102;104;112;110;108;115,28;24;30,82nd Street BID,Maspeth,405;482;406;481;404;403;402,QW05;QW06;QW04;QW02;QW03,46;42;43;41,32;30;29;24;25;26;21,30;29;25;26;21,5;6;7;14,38;28;39;27;35;30;37;34,14;15;13;12,park-cemetery-etc-Queens;Glendale;Forest Hills;Rego Park;Elmhurst;Corona;North Corona;Middle Village;Elmhurst-Maspeth;Maspeth;Woodside;Hunters Point-Sunnyside-West Maspeth;Jackson Heights,11385;11375;11374;11373;11368;11379;11378;11377;11372,Jackson Heights Historic District
26,40;41;43;42,7;8;9;12,Southern Boulevard?BID,Hunts Point,201;202;209;203,BX01;BX02;BX09;BX03,23;22;25,8;17;16;15,8;17;16,14;15,85;84;79,29;32,Hunts Point;Longwood;Crotona Park East;Melrose South-Mott Haven North;Morrisania-Melrose;Claremont-Bathgate,10474;10451;10455;10459;10456;10460;10457,Longwood Historic District;Longwood Historic District Extension;Morris High School Historic District
17,42;44;48;46,7;9;10,161st Street?BID,Bathgate,203;204;206;205,BX03;BX04;BX06;BX05,23;22;25,8;16;15;14,8;16;15;14,15,84;77;79;86,29;32;31,park-cemetery-etc-Bronx;East Concourse-Concourse Village;West Concourse;Highbridge;Mount Hope;Claremont-Bathgate;University Heights-Morris Heights,10451;10456;10452;10457,Grand Concourse Historic District;Clay Avenue Historic District
45,104;108;114,2;24;30,Long Island City;Myrtle Avenue DMA;Sunnyside Shines;Steinway Street BID,Maspeth;Long Island City,108;405;402;401,MN08;QW05;QW02;QW01,13;46;41,5;30;34;26;22,5;30;34;26;22,12;6;7;14,76;38;28;37;36,59;28;18;15;12,Lenox Hill-Roosevelt Island;park-cemetery-etc-Queens;Ridgewood;Middle Village;Maspeth;Hunters Point-Sunnyside-West Maspeth;Queensbridge-Ravenswood-Long Island City;Astoria;Old Astoria,11109;10044;11385;11379;11378;11377;11104;11101;11106;11103,Hunters Point Historic District;Ridgewood South Historic District;Central Ridgewood Historic District;Ridgewood North Historic District;Stockholm Street Historic District
41,70;71;66;63;67,20;21;17;18;22,Flatbush-Nostrand Junction?BID;Church Avenue?BID;Flatbush Avenue?BID,Flatlands/Fairfield,314;309;312;318;317,BKS14;BKN09;BKS12;BKS18;BKN17,39;35;32,45;40;39,44;45;40;39,9;10,48;42;43;44;58;41,17;22;20;21,Midwood;Kensington-Ocean Parkway;Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Borough Park;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut,11218;11210;11230;11226;11225;11234;11203,Fiske Terrace-Midwood Park Historic District;Ditmas Park Historic District;East 25th Street Historic District;Prospect Park South Historic District;Albemarle-Kenmore Terraces Historic District;Chester Court Historic District
50,106;113;102;103;107;112,27;29;28;26;25,Sutphin Boulevard BID;180th Street BID;Jamaica Center BID;165th Street BID,Jamaica,410;412;409;408;406;481,QE10;QW09;QE12;QE08;QW06,45;44;46;43,32;28;27;30;29;24;23,28;27;30;24;29,5;6;7,31;29;32;24;28;25;27,10;14;15;16;11,South Ozone Park;Baisley Park;St. Albans;Richmond Hill;South Jamaica;Jamaica;Hollis;park-cemetery-etc-Queens;Glendale;Kew Gardens;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Forest Hills;Rego Park;Jamaica Estates-Holliswood,11420;11436;11434;11419;11418;11451;11435;11433;11385;11415;11432;11375;11367;11374;11423,Addisleigh Park Historic District
54,100;106;113;105;103;107;111,27;29;28;26,Greater JFK,JFK;Jamaica,484;410;483;412;413;408;411,QE10;QE12;QE13;QE08;QE11,45;44;43,31;28;27;23,32;28;31;27;23,5;6;3,31;29;32;24;33,10;14;11,South Ozone Park;Rosedale;Springfield Gardens South-Brookville;Springfield Gardens North;Laurelton;Baisley Park;St. Albans;Cambria Heights;Jamaica;Hollis;park-cemetery-etc-Queens;Airport;Queens Village;Jamaica Estates-Holliswood;Oakland Gardens,11420;11436;11430;11422;11413;11434;11411;11412;11433;11429;11423;11428;11427,Cambria Heights-227th Street Historic District;Cambria Heights-222nd Street Historic District
39,100;69;106;75;63,19;18,East Brooklyn?BID,Flatlands/Fairfield;East New York,305;318;356,BKS18;BKN05,35;33;34,42;37,42;37,8;7,59;60;54;55,19;18;15,Canarsie;Starrett City;park-cemetery-etc-Brooklyn;East New York;East New York (Pennsylvania Ave);Cypress Hills-City Line,11239;11414;11208;11207,
51,106;75;102;104;112,27;19;28;24,Myrtle Avenue DMA;Woodhaven BID,Ridgewood,484;410;305;409;405;482;406,QE10;QW09;BKN05;QW05;QW06,45;33;46,32;42;28;30;34;29,32;42;28;30;34;29,5;8;7,23;31;24;60;38;28;37,10;14;19;18;15;12,South Ozone Park;Lindenwood-Howard Beach;Ozone Park;Richmond Hill;East New York;park-cemetery-etc-Queens;Ridgewood;Woodhaven;Glendale;Kew Gardens,11420;11414;11208;11417;11419;11418;11385;11416;11421;11415;11375;11379,Ridgewood South Historic District;Central Ridgewood Historic District
10,19;22;23,2;3;4,East Mid-Manhattan BID;5th Avenue BID;Madison Avenue BID,,108;164;111,MN08;MN11,13;15;12,5;4;6;8,5;4;6;8,12;13,76;73;75;67;69;68,28;47;30;29,Lenox Hill-Roosevelt Island;Upper East Side-Carnegie Hill;park-cemetery-etc-Manhattan;Yorkville;East Harlem South,10022;10065;10021;10075;00083;10162;10028;10128;10029,Treadwell Farm Historic District;Upper East Side Historic District Extension;Upper East Side Historic District;Metropolitan Museum Historic District;Park Avenue Historic District;Carnegie Hill Historic District;Expanded Carnegie Hill Historic District;Henderson Place Historic District;Hardenbergh/Rhinelander Historic District
12,22;23;28;25,3;5;4,125th Street BID,,164;110;111,MN10;MN11,15;11;12,6;9;8,6;9;8,12;13,70;68,30;29,park-cemetery-etc-Manhattan;East Harlem South;Central Harlem South;East Harlem North,00083;10029;10026;10027;10035;10037,Mount Morris Park Historic District;Mount Morris Park Historic District Extension
14,40;42;44,7;8;9,161st Street?BID;HUB/3rd Avenue?BID,Port Morris,201;203;204,BX01;BX03;BX04,23;22,8;17;16,8;17;16,15,84;77;79,29;32,Mott Haven-Port Morris;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse,10451;10454;10455;10456;10452,Bertine Block Historic District;Mott Haven East Historic District;Mott Haven Historic District;Grand Concourse Historic District
58,69;75;63;67;73,17;19;18;22;23,,Flatlands/Fairfield,305;318;356;317;316,BKS18;BKN17;BKN05;BKN16,35;33,45;42;46;41,45;42;46;41,9;8,58;59;41;60;55,22;20;25;19;21,Prospect Lefferts Gardens-Wingate;Georgetown-Marine Park-Bergen Beach-Mill Basin;Canarsie;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village;East New York;East New York (Pennsylvania Ave);Brownsville,11234;11236;11203;11207;11212,
1,1;5,2,Downtown Alliance BID;Chinatown,,101,MN01,15,1,1,10,61;65;66,26;27,Battery Park City-Lower Manhattan;SoHo-TriBeCa-Civic Center-Little Italy;Chinatown;park-cemetery-etc-Manhattan,10004;10041;10043;10265;10005;10260;10270;10286;10081;10271;10275;10203;10006;10280;10080;10045;10259;10038;10279;10007;10278;10048;10281;10285;10282;10013,Governors Island Historic District;Fraunces Tavern Block Historic District;Stone Street Historic District;South Street Seaport Historic District;South Street Seaport Historic District Extension;African Burial Ground & The Commons Historic District;Tribeca South Historic District Extension;Tribeca South Historic District;Tribeca West Historic District;Tribeca East Historic District
32,78;76;84,15;13,Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;Montague Street?BID;MetroTech?BID;DUMBO,Southwest Brooklyn,306;302,BKS06;BKN02,36;38;15,35;38;39;1;33,35;39;38;1;33,10;7,57;51;61;52;65,25;26,Carroll Gardens-Columbia Street-Red Hook;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Brooklyn Heights-Cobble Hill;Battery Park City-Lower Manhattan;park-cemetery-etc-Manhattan,11217;11231;11201,Carroll Gardens Historic District;Boerum Hill Historic District Extension;Boerum Hill Historic District;Cobble Hill Historic District;Cobble Hill Historic District Extension;Borough Hall Skyscraper Historic District;Brooklyn Heights Historic District;Vinegar Hill Historic District;DUMBO Historic District;Fulton Ferry Historic District
28,90;94;83,14;32,,Greenpoint/Williamsburg;Ridgewood;North Brooklyn,301;304,BKN01;BKN04,30;34,33;37;34,33;37;34,7,50;54;53,59;18;12,North Side-South Side;Greenpoint;Bushwick North;Bushwick South;East Williamsburg,11206;11249;11211;11222;11237;11221,Greenpoint Historic District;Eberhard Faber Pencil Company Historic District
47,100;101,27;19,,,414;484;356,QE14,45;35,32;42;31,32;42;31,5;8,23;31;59,10;19,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;Hammels-Arverne-Edgemere;Far Rockaway-Bayswater;park-cemetery-etc-Brooklyn;park-cemetery-etc-Queens,11693;11692;11694;11691;11096;11697,
2,1;5;9;6,1;2,Chinatown;SoHo Broadway BID;Hudson Square;Village Alliance BID;Meatpacking BID,,101;103;102,MN01;MN03;MN02,14;15,1;2;3,1;2;3,10,65;66,27;47,SoHo-TriBeCa-Civic Center-Little Italy;Chinatown;East Village;West Village,10013;10002;10012;10003;10014;10011,Tribeca West Historic District;Tribeca North Historic District;SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District;Sullivan-Thompson Historic District;Charlton-King-Vandam Historic District;Greenwich Village Historic District Extension II;Weehawken Street Historic District;Greenwich Village Historic District Extension;Greenwich Village Historic District;Gansevoort Market Historic District
7,13;10;14,2,Bryant Park BID;Meatpacking BID;Flatiron/23rd Street Partnership;Hudson Yards/Hell's Kitchen;34th Street BID;Garment District;Times Square BID,,105;104,MN05;MN04,15,4;2;3,2;4;3,10;12,74;73;66;75;67,28;47,Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South;Clinton,10010;10016;10011;10001;10118;10120;10121;10119;10123;10122;10018;10036;10019,Gansevoort Market Historic District;Chelsea Historic District;Chelsea Historic District Extension;Lamartine Place Historic District;West Chelsea Historic District;Ladies' Mile Historic District;Madison Square North Historic District
23,123;122;121,31,South Shore BID;New Dorp BID,Rossville,503;595;502,SI03;SI02,51,51;50,51;50,11,62;64;63,24,Charleston-Richmond Valley-Tottenville;Annadale-Huguenot-Prince's Bay-Eltingville;Rossville-Woodrow;park-cemetery-etc-Staten Island;Great Kills;Arden Heights;Oakwood-Oakwood Beach;New Dorp-Midland Beach;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;New Springville-Bloomfield-Travis,10307;10309;10312;10308;10306;10314;10304,
31,78;79;84;88;90,15;13;14,North Flatbush?BID;Fulton Area Business (FAB) Alliance;Park Slope 5th Avenue?BID;Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;MetroTech?BID;Myrtle Avenue Brooklyn Partnership,Brooklyn Navy Yards,306;302;301;303,BKS06;BKN02;BKN01;BKN03,36;38;30,35;36;39;33;34,35;39;33,10;8;7,57;52;50,20;25;26;18,Bedford;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Fort Greene;Clinton Hill;Williamsburg;park-cemetery-etc-Brooklyn,11217;11238;11206;11201;11251;11205;11249;11211,Fort Greene Historic District;Boerum Hill Historic District Extension;Boerum Hill Historic District;Clinton Hill Historic District;Wallabout Historic District
21,122;120,31,New Dorp BID,Staten Island North Shore,595;502;501,SI02;SI01,51,50;49,50;49,11,64;63;61,24;23,New Dorp-Midland Beach;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;Old Town-Dongan Hills-South Beach;Grasmere-Arrochar-Ft. Wadsworth;Grymes Hill-Clifton-Fox Hills;Stapleton-Rosebank;New Brighton-Silver Lake;West New Brighton-New Brighton-St. George,10306;10305;10304;10301;10310,St. Paul's Avenue-Stapleton Heights Historic District;St. George / New Brighton Historic District
35,90;94,14,Graham Avenue?BID;Grand Street?BID,Greenpoint/Williamsburg;North Brooklyn,301,BKN01,30,33;34,33;34,7,50;53,59;18,Williamsburg;North Side-South Side;Greenpoint;Bushwick South;East Williamsburg,11206;11249;11211;11222,Fillmore Place Historic District
18,43;49;42;48;52;46,11;9;12;10,Belmont BID;Fordham Road?BID,,209;227;203;206;205,BX09;BX03;BX06;BX05,26;22;25;21,17;18;13;15,18;17;16;15,14;13;15,85;87;79;78;86,34;32;33,West Farms-Bronx River;park-cemetery-etc-Bronx;Crotona Park East;Mount Hope;Claremont-Bathgate;East Tremont;Belmont;Fordham South;Bedford Park-Fordham North,10472;10462;10456;10460;10457;10458,
20,43;45;49;48;52;47,8;11;12;10,Throggs Neck BID;Westchester Square;Morris Park BID;White Plains Road? BID,Zerega,209;210;228;211;206;212,BX09;BX10;BX11;BX06;BX12,26;24,17;18;13;15,18;13;17;15,14;15,87;82;80,34;32;33,Schuylerville-Throgs Neck-Edgewater Park;Soundview-Castle Hill-Clason Point-Harding Park;West Farms-Bronx River;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Eastchester-Edenwald-Baychester;Van Nest-Morris Park-Westchester Square;Pelham Parkway;Crotona Park East;East Tremont,10464;10461;10462;10465;10469;10460,
13,30;33;34,6,Washington Heights BID,,109;112,MN09;MN12,17,9;7;10,7;9;10,13,71;72,30;31,park-cemetery-etc-Manhattan;Hamilton Heights;Washington Heights South;Washington Heights North;Marble Hill-Inwood,10031;10032;10033;10040;10034,Hamilton Heights/Sugar Hill Historic District;Hamilton Heights/Sugar Hill Historic District Extension;Hamilton Heights/Sugar Hill Northeast Historic District;Hamilton Heights/Sugar Hill Northwest Historic District;Audubon Terrace Historic District;Audubon Park Historic District;Jumel Terrace Historic District;Park Terrace West-West 217th Street Historic District
48,78;66;72,20;21;17;15;13,Park Slope 5th Avenue?BID,Southwest Brooklyn,355;312;307;306,BKS12;BKS07;BKS06,31;36;39;38;35,44;40;38;39,44;40;39;38,9;10,49;48;42;44;51;52,17;22;20;26;21,Ocean Parkway South;Kensington-Ocean Parkway;Windsor Terrace;Borough Park;Sunset Park East;Sunset Park West;Park Slope-Gowanus;park-cemetery-etc-Brooklyn,11219;11220;11218;11230;11215;11204;11232,Park Slope Historic District Extension;Park Slope Historic District
16,26;28;32;30;25,5;6,,,109;110;111,MN09;MN10;MN11,16;11;12;17,9;7,7;9,13,70;68;71,30,Manhattanville;Central Harlem North-Polo Grounds;Hamilton Heights;East Harlem North,10027;10030;10031;10032;10035;10037;10039,Central Harlem West 130-132nd Street Historic District;Dorrance Brooks Square Historic District;St. Nicholas Historic District;Hamilton Heights Historic District;Hamilton Heights Historic District Extension;Hamilton Heights/Sugar Hill Historic District
49,110;108;114;115,25;24;30;7,82nd Street BID;Sunnyside Shines;Steinway Street BID,Woodside;Astoria,403;402;401;480,QW02;QW01;QW03,42;43;41;23,25;26;22;21,25;26;22;21,6;7;14,39;35;30;37;36;34;85,59;11;13;12,park-cemetery-etc-Queens;Airport;North Corona;Woodside;Hunters Point-Sunnyside-West Maspeth;Astoria;Steinway;Jackson Heights;Rikers Island;Old Astoria;East Elmhurst,11368;11377;11104;11101;11102;11103;11105;11372;11370;11369;11371,Jackson Heights Historic District;Sunnyside Gardens Historic District
33,70;66;63;61,21;22,Kings Highway?BID,,315;314;312;318;356,BKS15;BKS14;BKS12;BKS18,37;35,48;44;45;46,47;44;48;45;46,9;8,45;48;42;59;41,23;17;22;21,Bensonhurst East;Homecrest;Ocean Parkway South;Midwood;Gravesend;Madison;Borough Park;Georgetown-Marine Park-Bergen Beach-Mill Basin;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;Flatlands;park-cemetery-etc-Brooklyn,11223;11210;11230;11234;11235;11229,
43,60;62;61,20;21;22,Brighton Beach?BID,,313;311;315;318;356,BKS13;BKS15;BKS11;BKS18,31;37;35,47;48;44;43;46,47;43;44;48;46,11;9;8,47;46;45;59;41,23;17;22,Seagate-Coney Island;Bensonhurst East;Bath Beach;Brighton Beach;Homecrest;West Brighton;Gravesend;Madison;Bensonhurst West;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;park-cemetery-etc-Brooklyn,11224;11214;11223;11235;11229,
40,62;68;66;72,20;21;15,Bay Ridge 5th Avenue?BID;Sunset Park?5th Avenue BID,Southwest Brooklyn,311;310;312;307,BKS10;BKS11;BKS12;BKS07,31;39;35,47;44;43;38,47;43;44;39;38,11;9;10,64;46;49;48;51,17;22;26,Dyker Heights;Bay Ridge;Bensonhurst West;Borough Park;Sunset Park East;Sunset Park West,11219;11228;11209;11220;11204;11232,Bay Ridge Parkway - Doctors' Row Historic District;Sunset Park South Historic District;Central Sunset Park Historic District;Sunset Park 50th Street Historic District;Sunset Park North Historic District
