sd,pp,fb,bid,ibz,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode,hd
17,70;71;78;77;67;73,41;38;57;48;58;44,Church Avenue?BID;Flatbush Avenue?BID,,314;309;308;355;317;316,BKS14;BKN09;BKN08;BKN17;BKN16,36;39;35;33;32,45;40;35;36;39;41,45;40;35;36;39;41,9;10;8,42;43;44;57;58;55;56,20;25;19;21,Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North;Prospect Heights;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village;Brownsville;Ocean Hill,11218;11226;11225;11215;11238;11216;11203;11213;11212;11233,Prospect Park South Historic District;Melrose Parkside Historic District;Ocean on the Park Historic District;Chester Court Historic District;Prospect Lefferts Gardens Historic District;Crown Heights North II Historic District;Crown Heights North III Historic District;Crown Heights North Historic District;Park Place Historic District
32,90;83,57;44;37;28,,Ridgewood;North Brooklyn,301;304,BKN01;BKN04,30;34,37;34,37;34,7,54;53,25;18;12,Bushwick North;Bushwick South,11206;11207;11237;11221,
16,77;79;73;81,38;57;44;37,Bed-Stuy Gateway?BID,,308;316;303,BKN08;BKN16;BKN03,36;32;34,36;41,36;41,9;8,43;55;56,20;25,Crown Heights North;Bedford;Ocean Hill;Stuyvesant Heights,11206;11213;11233;11221,Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
13,78;77;79;84;88;81,38;57;48;32;31;37,North Flatbush?BID;Bed-Stuy Gateway?BID;Fulton Area Business (FAB) Alliance;Park Slope 5th Avenue?BID;Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;Montague Street?BID;MetroTech?BID;Myrtle Avenue Brooklyn Partnership;DUMBO,Brooklyn Navy Yards,308;355;306;302;303,BKN08;BKS06;BKN02;BKN03,36;38;15;32,35;36;39;1;33,35;36;39;1;33,9;10;8;7,44;57;52;65;56,20;25;26,Crown Heights North;Prospect Heights;Bedford;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Brooklyn Heights-Cobble Hill;Battery Park City-Lower Manhattan;Fort Greene;Clinton Hill;park-cemetery-etc-Brooklyn;Stuyvesant Heights,11215;11217;11238;11216;11206;11201;11251;11205;11213;11233;11221,Park Slope Historic District;Park Slope Historic District Extension II;Fort Greene Historic District;Prospect Heights Historic District;Bedford Historic District;Borough Hall Skyscraper Historic District;Brooklyn Heights Historic District;Vinegar Hill Historic District;Clinton Hill Historic District;Wallabout Historic District;DUMBO Historic District;Fulton Ferry Historic District;Alice and Agate Courts Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
25,102;107;112;110;111;115;109,50;53;52;49,Downtown Flushing,,408;481;403;411;407,QE08;QE11;QW03;QE07,43,24;20;21;19,24;20;21;19,6;3;14,25;27;35;40;26,14;16;11;13,park-cemetery-etc-Queens;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Queensboro Hill;East Flushing;Auburndale;Bayside-Bayside Hills;Flushing;Murray Hill;Ft. Totten-Bay Terrace-Clearview;College Point;Whitestone,11432;11367;11366;11365;11355;11368;11358;11354;11360;11359;11356;11357,Fort Totten Historic District
29,113;105;103;107,54;50;53,Greater JFK;180th Street BID;Jamaica Center BID,JFK;Jamaica,412;413;408,QE12;QE13;QE08,45;44;43,31;28;27;24;23,31;27;24;23,5;6;3,31;29;32;24;33;25,10;14;16;11,Rosedale;Springfield Gardens South-Brookville;Springfield Gardens North;Laurelton;St. Albans;Cambria Heights;South Jamaica;Jamaica;Hollis;park-cemetery-etc-Queens;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Queens Village;Jamaica Estates-Holliswood;Bellerose,11422;11413;11434;11411;11412;11433;11429;11432;11423;11428;11427;11426,Addisleigh Park Historic District;Cambria Heights-227th Street Historic District;Cambria Heights-222nd Street Historic District
10,48;52;46;50;47,20;15;17;18;27;19,Jerome-Gun Hill?BID;Belmont BID;Fordham Road?BID;Kingsbridge?BID,,227;206;205;207;208;226;212,BX06;BX05;BX07;BX08;BX12,26;25;21,16;15;14;11,17;16;15;14;11,13;15,87;80;77;78;86;81,36;32;31;33,park-cemetery-etc-Bronx;Norwood;Mount Hope;Claremont-Bathgate;East Tremont;Belmont;Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights;Kingsbridge Heights;Van Cortlandt Village;Spuyten Duyvil-Kingsbridge;North Riverdale-Fieldston-Riverdale,10462;10467;10460;10457;10458;10453;10468;10463;10471;10470,Perry Avenue Historic District;Fieldston Historic District;Riverdale Historic District
26,105;107;111;109,54;50;53;52,Bayside Village,,413;408;411;407,QE13;QE08;QE11;QE07,44;43,24;23;20;19,24;23;20;19,5;6;3,24;33;25;26,16;11,park-cemetery-etc-Queens;Pomonok-Flushing Heights-Hillcrest;Queens Village;Jamaica Estates-Holliswood;Fresh Meadows-Utopia;Bellerose;Oakland Gardens;Glen Oaks-Floral Park-New Hyde Park;Auburndale;Bayside-Bayside Hills;Douglas Manor-Douglaston-Little Neck;Murray Hill;Ft. Totten-Bay Terrace-Clearview,11432;11423;11366;11427;11001;11426;11004;11364;11040;11365;11005;11362;11358;11361;11363;11360,Douglaston Hill Historic District;Douglaston Hill Historic District Amendment;Douglaston Historic District
18,71;69;63;67;73,41;38;39;58,,Flatlands/Fairfield,309;318;356;317;316,BKN09;BKS18;BKN17;BKN16,35;33,45;40;42;46;41,45;40;42;46;41,9;8,43;58;59;41;60;55,20;19;21,Erasmus;Prospect Lefferts Gardens-Wingate;Canarsie;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village;East New York;Brownsville,11234;11236;11203;11212,
15,78;66;72;76;84;88,57;48;40;32;31,North Flatbush?BID;Fulton Area Business (FAB) Alliance;Sunset Park?5th Avenue BID;Park Slope 5th Avenue?BID;Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;MetroTech?BID,Southwest Brooklyn,312;307;306;302,BKS12;BKS07;BKS06;BKN02,36;39;38;15;35,44;40;35;43;38;39;1;33,44;40;35;39;38;1;33,9;10;7,49;48;42;44;57;51;61;52,17;22;20;25;26;21,Kensington-Ocean Parkway;Windsor Terrace;Borough Park;Sunset Park East;Sunset Park West;Carroll Gardens-Columbia Street-Red Hook;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Brooklyn Heights-Cobble Hill;Fort Greene;park-cemetery-etc-Manhattan;park-cemetery-etc-Brooklyn,11219;11220;11218;11215;11217;11232;11231;11201,Park Slope Historic District Extension;Park Slope Historic District;Brooklyn Academy of Music Historic District;Central Sunset Park Historic District;Sunset Park 50th Street Historic District;Sunset Park North Historic District;Carroll Gardens Historic District;Boerum Hill Historic District Extension;Boerum Hill Historic District;Cobble Hill Historic District;Cobble Hill Historic District Extension;Borough Hall Skyscraper Historic District;Brooklyn Heights Historic District
27,100;106;101;75;113;102;105,47;51;54;50,Greater JFK;Woodhaven BID,JFK;Jamaica,414;484;410;483;412;409;413,QE14;QE10;QW09;QE12;QE13,45;44,32;31;28;29,32;28;31;30;29,5;7,23;31;32;24;38;28,10;14;19;15,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;South Ozone Park;Hammels-Arverne-Edgemere;Far Rockaway-Bayswater;Lindenwood-Howard Beach;Ozone Park;Rosedale;Springfield Gardens South-Brookville;Springfield Gardens North;Baisley Park;Richmond Hill;park-cemetery-etc-Queens;Woodhaven;Airport;Kew Gardens,11693;11692;11694;11420;11436;11691;11096;11414;11208;11417;11430;11422;11434;11419;11418;11697;11416;11421;11415,
8,40;41;43;45;42,14;3;20;26,Throggs Neck BID;Southern Boulevard?BID,Hunts Point;Zerega,201;202;209;210;228;203,BX01;BX02;BX09;BX10;BX03,23;26;24;22,8;17;18;13;16,8;18;13;17;16,14;15,85;87;82;84;79,29;34;32,Hunts Point;Longwood;Schuylerville-Throgs Neck-Edgewater Park;Soundview-Castle Hill-Clason Point-Harding Park;Soundview-Bruckner;Westchester-Unionport;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Van Nest-Morris Park-Westchester Square;Crotona Park East;Melrose South-Mott Haven North;Morrisania-Melrose,10474;10451;10455;10473;10472;10461;10462;10465;10459;10456,Longwood Historic District;Manida Street Historic District;Longwood Historic District Extension
7,114;40;41;42;44,49;14;26;17,161st Street?BID;HUB/3rd Avenue?BID,Port Morris,401;201;202;203;204,QW01;BX01;BX03;BX04,23;22,22;8;17;16,22;8;17;16,14;15,85;84;77;79,11;29;32,Rikers Island;Mott Haven-Port Morris;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse;Highbridge,11370;10451;10454;10455;10459;10456;10452,Bertine Block Historic District;Mott Haven East Historic District;Mott Haven Historic District;Grand Concourse Historic District
9,42;44;48;46,14;26;17;18;19,161st Street?BID,Bathgate,203;204;206;205,BX03;BX04;BX06;BX05,23;22;25,17;16;15;14,8;17;16;15;14,13;15,84;77;79;86,29;32;31;33,park-cemetery-etc-Bronx;Morrisania-Melrose;East Concourse-Concourse Village;West Concourse;Highbridge;Mount Hope;Claremont-Bathgate;University Heights-Morris Heights,10451;10456;10452;10457;10453,Grand Concourse Historic District;Morris High School Historic District;Clay Avenue Historic District;Morris Avenue Historic District
22,70;66;63;61;67,43;41;58;33,Kings Highway?BID;Flatbush-Nostrand Junction?BID;Flatbush Avenue?BID,Flatlands/Fairfield,315;314;312;318;356;317,BKS15;BKS14;BKS12;BKS18;BKN17,37;35,48;44;45;40;39;46,44;48;45;40;39;46,9;8,45;48;42;44;58;59;41,23;22;19;21,Homecrest;Midwood;Kensington-Ocean Parkway;Madison;Flatbush;Erasmus;Georgetown-Marine Park-Bergen Beach-Mill Basin;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut,11218;11210;11230;11226;11234;11235;11229;11203,Fiske Terrace-Midwood Park Historic District;Ditmas Park Historic District;East 25th Street Historic District;Prospect Park South Historic District;Albemarle-Kenmore Terraces Historic District
1,7;5;9,4;2;6,Lower East Side BID;Village Alliance BID;14th Street BID,,103,MN03,14,1;2,1;2,10;12,74;65;66,27,Lower East Side;Chinatown;East Village,10009;10002;10003,East 10th Street Historic District;East Village / Lower East Side Historic District;St. Mark's Historic District;St. Mark's Historic District Extension
2,1;7;17;5;9;13;6;10;14;18;19;23;114,1;8;4;2;6;7;9;10;45,Downtown Alliance BID;Chinatown;Bryant Park BID;Grand Central Partnership;East Mid-Manhattan BID;SoHo Broadway BID;Lower East Side BID;NoHo BID;Hudson Square;Village Alliance BID;14th Street BID;Meatpacking BID;Flatiron/23rd Street Partnership;Hudson Yards/Hell's Kitchen;34th Street BID;Garment District;Times Square BID;47th Street BID;5th Avenue BID;Lincoln Square BID;Madison Avenue BID,,101;106;105;103;102;104;108;111,MN01;MN06;MN05;MN03;MN02;MN04;MN08;MN11,14;13;15;12,1;5;4;2;3;6;8,1;2;5;4;3;6,10;12;13,61;74;76;73;65;66;75;67;68,26;59;28;27;47;29,Battery Park City-Lower Manhattan;Lower East Side;Stuyvesant Town-Cooper Village;Murray Hill-Kips Bay;Turtle Bay-East Midtown;Lenox Hill-Roosevelt Island;SoHo-TriBeCa-Civic Center-Little Italy;Chinatown;Gramercy;West Village;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South;Clinton;Lincoln Square;Upper East Side-Carnegie Hill;park-cemetery-etc-Manhattan;Yorkville;East Harlem South,10004;10041;10043;10265;10005;10260;10270;10286;10081;10271;10275;10203;10006;10280;10080;10045;10259;10038;10279;10007;10278;10009;10010;10016;10158;10178;10044;10168;10174;10165;10017;10170;10166;10110;10173;10175;10169;10167;10096;10177;10172;10176;10171;10196;10022;10155;10065;10048;10281;10285;10282;10013;10002;10012;10003;10014;10011;10001;10047;10118;10120;10121;10119;10123;10122;10018;10036;10097;10019;10154;10152;10020;10111;10055;10112;10103;10104;10105;10151;10153;10106;10107;10021;10075;10162;10028;10128;10029,Governors Island Historic District;Fraunces Tavern Block Historic District;Stone Street Historic District;South Street Seaport Historic District;South Street Seaport Historic District Extension;African Burial Ground & The Commons Historic District;Tribeca South Historic District Extension;Tudor City Historic District;Turtle Bay Gardens Historic District;Sniffen Court Historic District;Murray Hill Historic District Extensions;Murray Hill Historic District;Treadwell Farm Historic District;Tribeca South Historic District;Tribeca West Historic District;Tribeca East Historic District;Tribeca North Historic District;SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District;Noho East Historic District;NoHo Historic District Extension;NoHo Historic District;Sullivan-Thompson Historic District;Charlton-King-Vandam Historic District;MacDougal-Sullivan Gardens Historic District;South Village Historic District;Stuyvesant Square Historic District;East 17th Street / Irving Place Historic District;Greenwich Village Historic District Extension II;Weehawken Street Historic District;Greenwich Village Historic District Extension;Greenwich Village Historic District;Gansevoort Market Historic District;Chelsea Historic District;Chelsea Historic District Extension;Lamartine Place Historic District;West Chelsea Historic District;Gramercy Park Historic District Extension;Gramercy Park Historic District;Ladies' Mile Historic District;Madison Square North Historic District;Upper East Side Historic District Extension;Upper East Side Historic District;Metropolitan Museum Historic District;Park Avenue Historic District;Carnegie Hill Historic District;Expanded Carnegie Hill Historic District;Henderson Place Historic District;Hardenbergh/Rhinelander Historic District
3,18;20;22;24;26;28,9;10;11;12,Lincoln Square BID;Columbus Avenue BID;Columbus Amsterdam BID,,104;107;164;109;110,MN04;MN07;MN09;MN10,15;16;11,6;9;7,3;6;7;9,12;13,75;67;69;70;68,28;47;30;29,Lincoln Square;park-cemetery-etc-Manhattan;Upper West Side;Morningside Heights;Central Harlem South,10019;10023;10069;00083;10026;10024;10025;10115;10027,West 71st Street Historic District;West End-Collegiate Historic District Extension;West End - Collegiate Historic District;Central Park West - West 73rd - 74th Street Historic District;Central Park West - 76th Street Historic District;Upper West Side/Central Park West Historic District;Riverside Drive-West 80th-81st Street Historic District;Riverside-West End Historic Distric Extension I;Riverside-West End Historic District;Riverside-West End Historic District Extension II;Manhattan Avenue Historic District;Riverside - West 105th Street Historic District;Morningside Heights Historic District;Mount Morris Park Historic District;Mount Morris Park Historic District Extension
31,123;122;121;120,23;21;22,South Shore BID;New Dorp BID;West Shore BID;Forest Avenue?BID,Rossville;Staten Island West Shore;Staten Island North Shore,503;595;502;501,SI03;SI02;SI01,51,51;50;49,51;50;49,11,62;64;63;61,24;23,Charleston-Richmond Valley-Tottenville;Annadale-Huguenot-Prince's Bay-Eltingville;Rossville-Woodrow;park-cemetery-etc-Staten Island;Great Kills;Arden Heights;Oakwood-Oakwood Beach;New Dorp-Midland Beach;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;Old Town-Dongan Hills-South Beach;New Springville-Bloomfield-Travis;Grasmere-Arrochar-Ft. Wadsworth;Westerleigh;Grymes Hill-Clifton-Fox Hills;Stapleton-Rosebank;Port Richmond;New Brighton-Silver Lake;Mariner's Harbor-Arlington-Port Ivory-Graniteville;West New Brighton-New Brighton-St. George;park-cemetery-etc-Queens,10307;10309;10312;10308;10306;10305;10314;10304;10301;10302;10303;10310,New York City Farm Colony- Seaview Hospital Historic District;St. Paul's Avenue-Stapleton Heights Historic District;St. George / New Brighton Historic District
14,79;88;90;94;81;83,57;31;35;28,Graham Avenue?BID;Myrtle Avenue Brooklyn Partnership;Grand Street?BID,Brooklyn Navy Yards;Greenpoint/Williamsburg;North Brooklyn,302;301;303;304,BKN02;BKN01;BKN03;BKN04,36;30;34,35;36;33;34,35;36;33;34,8;7,57;52;50;56;53,25;59;18,Bedford;Clinton Hill;Williamsburg;North Side-South Side;Greenpoint;park-cemetery-etc-Brooklyn;Stuyvesant Heights;Bushwick South;East Williamsburg,11206;11251;11205;11249;11211;11222;11237,Fillmore Place Historic District;Greenpoint Historic District;Eberhard Faber Pencil Company Historic District
4,23;25,10;12,,,111,MN11,11;12,9;8,9;8,12;13,68,30;29,park-cemetery-etc-Manhattan;East Harlem South;East Harlem North,10029;10035,
11,43;45;49;47,3;20;15;18;27,Westchester Square;Morris Park BID;White Plains Road? BID,Zerega;Eastchester,209;210;228;211;227;212,BX09;BX10;BX11;BX12,26;24;21,18;13;12;15;11,18;13;12;15;11,14;15;16,87;82;80;83;78;81,34;36;33,Schuylerville-Throgs Neck-Edgewater Park;Westchester-Unionport;West Farms-Bronx River;Parkchester;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester;Van Nest-Morris Park-Westchester Square;Pelham Parkway;Bronxdale;Allerton-Pelham Gardens;Williamsbridge-Olinville;East Tremont;Woodlawn-Wakefield,10464;10461;10462;10465;10475;10469;10467;10460;10466;10470,
12,41;43;49;42;48,3;20;26;18,Southern Boulevard?BID,,202;209;203;206,BX02;BX09;BX03;BX06,26;22;25,17;18;13;15,18;17;16;15,14;15,85;87;79;78,34;32;33,Hunts Point;Longwood;Soundview-Bruckner;West Farms-Bronx River;Parkchester;park-cemetery-etc-Bronx;Van Nest-Morris Park-Westchester Square;Crotona Park East;Morrisania-Melrose;East Tremont,10472;10462;10459;10456;10460;10457,
21,60;62;70;66;61,42;43;41;48;40;33,Brighton Beach?BID;Kings Highway?BID,,313;311;315;314;312,BKS13;BKS15;BKS14;BKS11;BKS12,31;37;35,47;48;44;45;40;43,47;43;44;48;45,11;9;8,47;46;49;45;48;41,23;17;22;21,Seagate-Coney Island;Bensonhurst East;Brighton Beach;Homecrest;Ocean Parkway South;Midwood;West Brighton;Gravesend;Madison;Flatbush;Bensonhurst West;Borough Park;Sheepshead Bay-Gerritsen Beach-Manhattan Beach,11224;11214;11223;11230;11204;11235;11229,
6,26;30;33;34,16;13,Washington Heights BID,,109;110;112,MN09;MN10;MN12,17,9;7;10,7;9;10,13,70;71;72,30;31,park-cemetery-etc-Manhattan;Manhattanville;Hamilton Heights;Washington Heights South;Washington Heights North;Marble Hill-Inwood,10027;10031;10032;10039;10033;10040;10034,Hamilton Heights Historic District;Hamilton Heights Historic District Extension;Hamilton Heights/Sugar Hill Historic District;Hamilton Heights/Sugar Hill Historic District Extension;Hamilton Heights/Sugar Hill Northeast Historic District;Hamilton Heights/Sugar Hill Northwest Historic District;Audubon Terrace Historic District;Audubon Park Historic District;Jumel Terrace Historic District;Park Terrace West-West 217th Street Historic District
24,102;104;112;110;108;115,51;44;46;45;49,Myrtle Avenue DMA;82nd Street BID;Sunnyside Shines,Ridgewood;Maspeth;Long Island City,409;405;482;406;481;404;403;402,QW09;QW05;QW06;QW04;QW02;QW03,46;42;43;41,32;30;34;25;26;21,30;34;29;25;26;21,5;6;7;14,38;28;39;35;30;37;34,18;15;13;12,park-cemetery-etc-Queens;Ridgewood;Woodhaven;Glendale;Rego Park;Elmhurst;Corona;North Corona;Middle Village;Elmhurst-Maspeth;Maspeth;Woodside;Hunters Point-Sunnyside-West Maspeth;Jackson Heights;East Elmhurst,11208;11385;11421;11375;11374;11373;11368;11379;11378;11377;11104;11101;11372;11369,Ridgewood South Historic District;Central Ridgewood Historic District;Jackson Heights Historic District;Ridgewood North Historic District;Stockholm Street Historic District
28,106;113;102;103;107;112;110,51;54;50;46,Sutphin Boulevard BID;Jamaica Center BID;165th Street BID,Jamaica,410;412;409;482;408;406;481;404,QE10;QW09;QE12;QE08;QW06;QW04,45;44;46;42;43,32;31;28;27;30;29;24;21,28;31;27;30;24;29;25;21,5;6;7,31;29;32;24;28;39;25;27;35,10;14;15;16;11;13;12,South Ozone Park;Springfield Gardens North;Baisley Park;St. Albans;Richmond Hill;South Jamaica;Jamaica;park-cemetery-etc-Queens;Glendale;Kew Gardens;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Forest Hills;Rego Park;Elmhurst;Corona,11420;11436;11434;11419;11418;11451;11435;11433;11385;11415;11432;11375;11367;11374;11373;11368,
19,100;69;106;75;73;83,47;39;51;58;44,East Brooklyn?BID,Flatlands/Fairfield;East New York,305;318;356;316;304,BKS18;BKN05;BKN16;BKN04,35;33;34,42;37,42;37,8;7,59;60;54;55,25;19;18;15,Canarsie;Starrett City;park-cemetery-etc-Brooklyn;East New York;East New York (Pennsylvania Ave);Cypress Hills-City Line;Brownsville;Ocean Hill,11693;11239;11414;11208;11236;11207;11212;11233,
23,69;67;73;83,58;44;37,East Brooklyn?BID;Pitkin Avenue?BID,East New York,317;316;304,BKN17;BKN16;BKN04,33;32;34,42;41;37,42;41;37,9;8;7,58;60;54;55,25;19;18,Rugby-Remsen Village;East New York (Pennsylvania Ave);Brownsville;Ocean Hill;Bushwick South,11207;11212;11233,
5,26;28;32;30;25,11;16;12,125th Street BID,,109;110;111,MN09;MN10;MN11,16;11;12;17,9;7;8,7;9;8,13,69;70;68;71,30;29,Morningside Heights;Central Harlem South;Manhattanville;Central Harlem North-Polo Grounds;Hamilton Heights;East Harlem North,10026;10024;10027;10030;10031;10035;10037;10039,Mount Morris Park Historic District;Mount Morris Park Historic District Extension;Central Harlem West 130-132nd Street Historic District;Dorrance Brooks Square Historic District;St. Nicholas Historic District;Hamilton Heights/Sugar Hill Historic District
30,110;108;114;115,46;45;49,Long Island City;82nd Street BID;Sunnyside Shines;Steinway Street BID,Woodside;Long Island City;Astoria,403;402;401;480,QW02;QW01;QW03,42;43;41,25;26;22;21,25;26;22;21,6;7;14,39;35;30;37;36;34,59;11;13;12,park-cemetery-etc-Queens;Airport;North Corona;Elmhurst-Maspeth;Woodside;Hunters Point-Sunnyside-West Maspeth;Queensbridge-Ravenswood-Long Island City;Astoria;Steinway;Jackson Heights;Old Astoria;East Elmhurst,11109;11368;11377;11104;11101;11106;11102;11103;11105;11372;11370;11369;11371,Hunters Point Historic District;Jackson Heights Historic District;Sunnyside Gardens Historic District
20,62;68;70;66;72,42;43;41;48;40,86th Street Bay Ridge?BID;Bay Ridge 5th Avenue?BID;Sunset Park?5th Avenue BID,Southwest Brooklyn,311;310;314;312;307,BKS10;BKS14;BKS11;BKS12;BKS07,31;37;39;35,50;47;44;40;43;38;39,47;43;44;40;39;38,11;9;10,64;47;46;49;48;44;51,23;17;22;26;21,Bensonhurst East;Bath Beach;Dyker Heights;Bay Ridge;Kensington-Ocean Parkway;Flatbush;Bensonhurst West;Borough Park;Sunset Park East;Sunset Park West;park-cemetery-etc-Brooklyn,11214;11219;11228;11209;11220;11218;11230;11204,Bay Ridge Parkway - Doctors' Row Historic District;Sunset Park South Historic District
10,52;50,19,,,207;208,BX07;BX08,17,10,10,13,72,31,Marble Hill-Inwood,10463,
